kode_prov,nama_prov,jenis_pdrb,kode_komp,nama_komp,nilai_jt
15,Jambi,PRODUKSI,I-01,Pertanian Tanaman Pangan ,1815437.045290472
15,Jambi,PRODUKSI,I-02,"Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya",3607129.8074291
15,Jambi,PRODUKSI,I-03,Perkebunan Semusim dan Tahunan,19003747.45204823
15,Jambi,PRODUKSI,I-04,Peternakan ,1814926.3683734233
15,Jambi,PRODUKSI,I-05,Jasa Pertanian dan Perburuan  ,380971.0982067645
15,Jambi,PRODUKSI,I-06,Kehutanan dan Penebangan Kayu,7197427.560088452
15,Jambi,PRODUKSI,I-07,Perikanan ,2055746.8887352122
15,Jambi,PRODUKSI,I-08,"Pertambangan Minyak, Gas dan Panas Bumi",11216376.714356517
15,Jambi,PRODUKSI,I-09,Pertambangan Batubara dan Lignit,4135288.726610684
15,Jambi,PRODUKSI,I-10,Pertambangan Bijih Logam,185062.2771794754
15,Jambi,PRODUKSI,I-11,Pertambangan dan Penggalian Lainnya,770558.2385610687
15,Jambi,PRODUKSI,I-12,Industri Batubara dan Pengilangan Migas,3775931.08488263
15,Jambi,PRODUKSI,I-13,Industri Makanan dan Minuman ,8472112.24022056
15,Jambi,PRODUKSI,I-14,Industri Pengolahan Tembakau,271.6765476432556
15,Jambi,PRODUKSI,I-15,Industri Tekstil dan Pakaian Jadi,40266.38481732784
15,Jambi,PRODUKSI,I-16,"Industri Kulit, Barang dari Kulit dan Alas Kaki ",44598.52258406477
15,Jambi,PRODUKSI,I-17,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",2432118.5559033225
15,Jambi,PRODUKSI,I-18,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",2015025.4250209918
15,Jambi,PRODUKSI,I-19,"Industri Kimia, Farmasi dan Obat Tradisional",193634.78254014094
15,Jambi,PRODUKSI,I-20,"Industri Karet, Barang dari Karet dan Plastik",2284223.1115778578
15,Jambi,PRODUKSI,I-21,Industri Barang Galian bukan Logam,566842.4978862928
15,Jambi,PRODUKSI,I-22,Industri Logam Dasar ,356021.49224727316
15,Jambi,PRODUKSI,I-23,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",141491.95232576
15,Jambi,PRODUKSI,I-24,Industri Mesin dan Perlengkapan YTDL,41050.310678696296
15,Jambi,PRODUKSI,I-25,Industri Alat Angkutan,1440642.5068697575
15,Jambi,PRODUKSI,I-26,Industri Furnitur,216446.691844893
15,Jambi,PRODUKSI,I-27,"Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan",59582.03068562001
15,Jambi,PRODUKSI,I-28,Ketenagalistrikan ,956630.1062415654
15,Jambi,PRODUKSI,I-29,Pengadaan Gas dan Produksi Es,21229.303103880626
15,Jambi,PRODUKSI,I-30,"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",280605.81533103395
15,Jambi,PRODUKSI,I-31,Konstruksi,8002924.934316327
15,Jambi,PRODUKSI,I-32,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",5460796.218660918
15,Jambi,PRODUKSI,I-33,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",13440537.638822058
15,Jambi,PRODUKSI,I-34,Angkutan Rel ,0
15,Jambi,PRODUKSI,I-35,Angkutan Darat,2980920.2024677773
15,Jambi,PRODUKSI,I-36,Angkutan Laut ,695214.5336510823
15,Jambi,PRODUKSI,I-37,Angkutan Sungai Danau dan Penyeberangan,227016.539696047
